bestJGene,frequency
TRAJ49,0.03883777591912433
TRAJ37,0.03741954252881923
TRAJ42,0.03486793459156091
TRAJ40,0.032401178224662715
TRAJ52,0.02917681855097761
TRAJ39,0.02886771640180855
TRAJ53,0.028643465822999623
TRAJ48,0.028279816235741904
TRAJ45,0.028219207971198954
TRAJ9,0.026049432100561234
TRAJ23,0.025425166975768815
TRAJ20,0.02507363904141969
TRAJ43,0.024503921354715928
TRAJ54,0.024279670775907
TRAJ6,0.02412815011454962
TRAJ22,0.024097845982278144
TRAJ4,0.02406148102355237
TRAJ31,0.023655405651114587
TRAJ34,0.02283719407978472
TRAJ10,0.021770488623828747
TRAJ17,0.021176527631307805
TRAJ44,0.021109858540310555
TRAJ13,0.020800756391141498
TRAJ15,0.020570444985878275
TRAJ33,0.019843145811362838
TRAJ57,0.019521922009285188
TRAJ30,0.019152211595573173
TRAJ8,0.01832793919778901
TRAJ36,0.017261233741833037
TRAJ5,0.01720668630374438
TRAJ27,0.016964253245572568
TRAJ47,0.016521812914409007
TRAJ21,0.016164224153605584
TRAJ28,0.015879365310253708
TRAJ29,0.015000545474380886
TRAJ16,0.014745990763300484
TRAJ3,0.014327793737954108
TRAJ32,0.014200516382413906
TRAJ24,0.013733832745433168
TRAJ11,0.013339879025903972
TRAJ26,0.013218662496818067
TRAJ12,0.012097409602773434
TRAJ58,0.011848915718147326
TRAJ38,0.01083675770028001
TRAJ41,0.010491290592385178
TRAJ7,0.00937609852479484
TRAJ18,0.008782137532273901
TRAJ56,0.008454852903741955
TRAJ50,0.0074548165387832285
TRAJ35,0.007169957695431349
TRAJ46,0.00138186843157933
TRAJ61,0.000236372231717517
TRAJ25,0.00014545983490308738
TRAJ60,4.242578518006715e-05
TRAJ14,1.2121652908590616e-05
TRAJ2,6.060826454295308e-06
