,group,names,scores,logfoldchanges,pvals,pvals_adj
3191,control,ST8SIA6,-0.3558974,6.8922343,0.7219174155745173,0.9997127610330623
3192,control,AC090531.1,-0.35836816,2.4807007,0.7200678110295059,0.9997127610330623
3193,control,U62317.5,-0.35971773,1.0588121,0.7190582242818002,0.9997127610330623
3194,control,ITPR3,-0.36015502,1.254624,0.7187312197735547,0.9997127610330623
3195,control,PENK,-0.36234134,0.84101003,0.7170969707269312,0.9997127610330623
3196,control,FCGR2B,-0.364028,1.0451732,0.7158370871501905,0.9997127610330623
3197,control,AC079380.1,-0.36645797,1.0356196,0.7140233658710016,0.9997127610330623
3198,control,CD96,-0.36655185,,0.7139533384582746,0.9997127610330623
3199,control,PARP15,-0.37063587,1.3175681,0.7109087746502845,0.9997127610330623
3200,control,PLVAP,-0.37248316,1.8253423,0.7095331410901339,0.9997127610330623
3201,control,FCAR,-0.37540075,1.0658573,0.707362441322325,0.9997127610330623
3202,control,APLNR,-0.38369814,1.2449428,0.7012021957046659,0.9997127610330623
3203,control,GPR174,-0.3872209,1.15652,0.6985926971554131,0.9997127610330623
3204,control,LILRA2,-0.38836843,1.7101225,0.6977434160598022,0.9997127610330623
3205,control,HIST1H3H,-0.38862348,1.1683385,0.6975546912338986,0.9997127610330623
3206,control,LINC01091,-0.3922901,0.83004755,0.694843897092798,0.9997127610330623
3207,control,AC078845.1,-0.39265504,3.0564737,0.6945742857111867,0.9997127610330623
3208,control,PLAUR,-0.39484176,,0.6929596826677116,0.9997127610330623
3209,control,SUSD3,-0.41080597,2.3400736,0.6812148120100227,0.9997127610330623
3210,control,ABI3BP,-0.4146122,,0.6784258057550063,0.9997127610330623
3211,control,ZAP70,-0.4155829,1.6579213,0.6777152424343245,0.9997127610330623
3212,control,RHCG,-0.41738272,,0.6763984983421296,0.9997127610330623
3213,control,SLAMF6,-0.42103976,1.1574974,0.6737260477288948,0.9997127610330623
3214,control,AC006305.1,-0.4232902,1.7323117,0.6720835474089006,0.9997127610330623
3215,control,CCL3,-0.4260296,1.3680732,0.6700862806272656,0.9997127610330623
3216,control,IGLC3,-0.42619044,1.8013562,0.6699690957224727,0.9997127610330623
3217,control,LINC02432,-0.43005523,1.4286609,0.6671554651318965,0.9997127610330623
3218,control,SP140,-0.431918,,0.6658010113145668,0.9997127610330623
3219,control,EGFL7,-0.43377867,,0.664449170872295,0.9997127610330623
3220,control,CMKLR1,-0.43510193,,0.6634884515889736,0.9997127610330623
3221,control,TNFSF8,-0.43527058,1.6979536,0.663366046675506,0.9997127610330623
3222,control,IL7R,-0.45844626,1.4360483,0.6466318678983363,0.9997127610330623
3223,control,IFI27,-0.46309745,1.8737609,0.6432945146695772,0.9997127610330623
3224,control,ESAM,-0.46657917,1.3734006,0.640800987263356,0.9997127610330623
3225,control,LINC00861,-0.46732855,1.3428214,0.6402648266990301,0.9997127610330623
3226,control,AC024084.1,-0.47021964,1.8342646,0.6381981111435822,0.9997127610330623
3227,control,ODF3B,-0.47349188,1.5734352,0.6358622946758437,0.9997127610330623
3228,control,ARRDC5,-0.48130926,1.4227595,0.6302967219411926,0.9997127610330623
3229,control,HLA-DOA,-0.48270097,1.4416914,0.6293080615230029,0.9997127610330623
3230,control,NALCN-AS1,-0.48796764,,0.6255727600132579,0.9961349681739775
3231,control,NKG7,-0.4899525,1.4317187,0.6241675029814049,0.995037378331944
3232,control,CD7,-0.4911987,1.3634245,0.6232859305387554,0.995037378331944
3233,control,FPR3,-0.49852443,1.5060031,0.6181144618118559,0.9921580446418233
3234,control,COL8A1,-0.49984613,2.6082716,0.6171834197951593,0.9921580446418233
3235,control,FAM149A,-0.5010515,,0.6163348906673585,0.9921580446418233
3236,control,AC018742.1,-0.5031966,1.2662172,0.6148260505605732,0.9908558429662742
3237,control,HPGDS,-0.5078125,,0.6115848335094858,0.9872232986432377
3238,control,S100A4,-0.50898904,1.4750981,0.6107598997942341,0.9866880449018322
3239,control,ADAMTSL2,-0.5099487,,0.6100874234344056,0.9863984210742207
3240,control,KCNQ1,-0.51216877,,0.6085328984837535,0.9850675836660591
3241,control,KCNE4,-0.51666886,5.280144,0.6053873284992655,0.9819745798852643
3242,control,AL390957.1,-0.51771224,,0.604659053315926,0.9815893722661135
3243,control,AC007100.1,-0.51811403,2.1348865,0.6043787142942276,0.9815893722661135
3244,control,TXK,-0.52669436,1.5718405,0.5984058746299417,0.9738216882910897
3245,control,ANXA1,-0.5329238,1.6370318,0.594086296596123,0.9683558216725721
3246,control,CLEC9A,-0.54046917,1.9767596,0.5888735160017438,0.9614261485742754
3247,control,RGS5,-0.54335356,-0.86882854,0.586886390736955,0.9589646907466586
