,group,names,scores,logfoldchanges,pvals,pvals_adj
9688,4,ANGPT1,-4.469573,,7.83758584865332e-06,2.4492455777041622e-05
9689,4,FOS,-4.4696,,7.836588629712202e-06,2.4492455777041622e-05
9690,4,XAF1,-4.4834104,,7.34594771901176e-06,2.3028049275898934e-05
9691,4,LINC01099,-4.4853816,,7.278353793495895e-06,2.285197423389606e-05
9692,4,BMPR1B,-4.502092,,6.728790646129832e-06,2.1159719012986894e-05
9693,4,ADAM28,-4.5103917,,6.4708004973667495e-06,2.038047400745433e-05
9694,4,PELI1,-4.51916,,6.208556548161399e-06,1.9616292411252445e-05
9695,4,LRMDA,-4.530151,,5.894162776307058e-06,1.865241384907297e-05
9696,4,AC074327.1,-4.534221,,5.7816412507954336e-06,1.8325328845627366e-05
9697,4,STK17B,-4.5350833,,5.758081305384771e-06,1.8279623191697684e-05
9698,4,HCLS1,-4.5479393,,5.417378721215037e-06,1.722536954281411e-05
9699,4,LGALS3,-4.568399,,4.9146419178068334e-06,1.5651725852888005e-05
9700,4,PIK3AP1,-4.5738564,,4.788277317945878e-06,1.5273611859476484e-05
9701,4,BCAN,-4.589992,,4.432627649941235e-06,1.4184408479811953e-05
9702,4,SCIN,-4.6009583,,4.205511496005767e-06,1.3500839473533762e-05
9703,4,CABLES1,-4.6156583,,3.918516867605592e-06,1.259973269326557e-05
9704,4,AEBP1,-4.655685,,3.2290560446887046e-06,1.0416309821576467e-05
9705,4,LRRC3B,-4.657483,,3.2009835680056015e-06,1.0342434791617452e-05
9706,4,EYA4,-4.6629143,,3.1176267743660812e-06,1.0089407036783435e-05
9707,4,BBOX1,-4.6745276,,2.9463128130396537e-06,9.550446719739559e-06
9708,4,IL4R,-4.690229,,2.728997326903875e-06,8.874788054971951e-06
9709,4,LINC00278,-4.693554,,2.6849899975366747e-06,8.745895757448452e-06
9710,4,PAWR,-4.6967087,,2.6438711672379764e-06,8.62600707092325e-06
9711,4,LAPTM5,-4.6984186,,2.6218362630101127e-06,8.568092362778147e-06
9712,4,SRGN,-4.7008195,,2.5911966844224912e-06,8.481822207602262e-06
9713,4,IFITM3,-4.7582955,,1.952346001724533e-06,6.401134431883715e-06
9714,4,GPNMB,-4.7791214,,1.7606281769967988e-06,5.782030137920522e-06
9715,4,STK32A,-4.801268,,1.5766397278177312e-06,5.194859070239642e-06
9716,4,MERTK,-4.804107,,1.5544371597766395e-06,5.130155642827193e-06
9717,4,DDR2,-4.8247223,,1.4019857327459482e-06,4.650035597830674e-06
9718,4,TNFRSF1B,-4.843042,,1.278662418462936e-06,4.2480479018702195e-06
9719,4,IL17RA,-4.85658,,1.1943064942749867e-06,3.981021647583289e-06
9720,4,SH3TC1,-4.877122,,1.0764486548519638e-06,3.5941524369013816e-06
9721,4,SLC25A18,-4.917631,,8.759769166586666e-07,2.9395198545592838e-06
9722,4,SLC2A1,-4.922103,,8.561924229256233e-07,2.8779577241197423e-06
9723,4,SLCO2B1,-4.9383044,,7.880476821371958e-07,2.6533591991151374e-06
9724,4,TLR1,-4.9476395,,7.511886287181683e-07,2.533519827042726e-06
9725,4,BEST3,-4.9703817,,6.682127970741252e-07,2.2612954215706436e-06
9726,4,PLSCR1,-4.975633,,6.503470110531965e-07,2.2045661391633784e-06
9727,4,CMTM8,-4.9933105,,5.935298237993654e-07,2.0153814050912238e-06
9728,4,TMEM51,-4.9975944,,5.804987980980553e-07,1.9744857078165146e-06
9729,4,IL13RA1,-5.002217,,5.667482062874863e-07,1.930998999275933e-06
9730,4,IKZF1,-5.0289354,,4.932102037992435e-07,1.6861887309375848e-06
9731,4,KCNK2,-5.032487,,4.841581270494346e-07,1.658075777566557e-06
9732,4,EPAS1,-5.0548143,,4.3080941014763695e-07,1.477905352135976e-06
9733,4,LMO2,-5.064972,,4.084610345688039e-07,1.406062081131855e-06
9734,4,VIM,-5.089209,,3.595602618401847e-07,1.239862971862706e-06
9735,4,RBM47,-5.0892997,,3.593882967888997e-07,1.239862971862706e-06
9736,4,UST,-5.1249995,,2.9753884476414177e-07,1.0331209887643812e-06
9737,4,EMX2,-5.1649585,,2.404920597283852e-07,8.364941207943833e-07
9738,4,SYTL4,-5.1762724,,2.2636284837027273e-07,7.887207260288249e-07
9739,4,ADAMTS18,-5.1863556,,2.144489156808016e-07,7.485127946973878e-07
9740,4,TGFBR1,-5.2013845,,1.978093561567543e-07,6.940679163394888e-07
9741,4,CD74,-5.205317,,1.9366594097617675e-07,6.807238698635387e-07
9742,4,BNC2,-5.216885,,1.819571340873297e-07,6.406941341103159e-07
9743,4,JUN,-5.234279,,1.6563006610344875e-07,5.852652512489355e-07
9744,4,LINC01094,-5.23704,,1.6317225296297954e-07,5.776008954441754e-07
9745,4,NR2F2-AS1,-5.2379265,,1.623906135080415e-07,5.758532393902182e-07
9746,4,SLC2A5,-5.244879,,1.5638518900600227e-07,5.555424120994753e-07
9747,4,EYA1,-5.2704377,,1.3609897096941786e-07,4.852013225291189e-07
9748,4,TCF7L1,-5.293807,,1.1979570548781529e-07,4.286071752694643e-07
9749,4,SYK,-5.2939415,,1.197076754433272e-07,4.286071752694643e-07
9750,4,ZNF385D,-5.3053455,,1.1245968492484777e-07,4.0380497280017147e-07
9751,4,RGS20,-5.3319864,,9.714429844069485e-08,3.494399224485426e-07
9752,4,DDX60L,-5.3476267,,8.911502344642528e-08,3.2113521962675774e-07
9753,4,NXPH2,-5.3859944,,7.204516445914687e-08,2.6009084642291285e-07
9754,4,ADGRE2,-5.505619,,3.6787337332090744e-08,1.335293551074074e-07
9755,4,APOLD1,-5.5212455,,3.3660483663856133e-08,1.2240175877765865e-07
9756,4,GNA13,-5.525467,,3.2861051094202364e-08,1.197123901428137e-07
9757,4,TLR2,-5.549507,,2.8647602307925615e-08,1.0512881580890133e-07
9758,4,CPED1,-5.570196,,2.5445260755894903e-08,9.354875277902537e-08
9759,4,AXL,-5.5811744,,2.38900071911236e-08,8.815500808532694e-08
9760,4,GLI2,-5.585736,,2.3271250161138943e-08,8.603049967149332e-08
9761,4,CSF1R,-5.5891285,,2.2821179902444447e-08,8.452288852757202e-08
9762,4,SP100,-5.6195526,,1.9145272778631908e-08,7.103997320457108e-08
9763,4,AC066613.2,-5.6197352,,1.912503376351052e-08,7.103997320457108e-08
9764,4,TMEM132C,-5.6265755,,1.838224482366591e-08,6.846273677342982e-08
9765,4,GPRIN3,-5.6609583,,1.505300569450337e-08,5.61679316959081e-08
9766,4,C3,-5.6791744,,1.3534641625253478e-08,5.059679112244291e-08
9767,4,AHNAK,-5.7152057,,1.0957130989523652e-08,4.103794378098746e-08
9768,4,AGMO,-5.7225018,,1.0496672457343023e-08,3.938713867670928e-08
9769,4,DOCK8,-5.7937117,,6.884754055631844e-09,2.598020398351639e-08
9770,4,IRAK3,-5.796613,,6.766747143356284e-09,2.5583165003237368e-08
9771,4,FLI1,-5.86256,,4.557859105363606e-09,1.729737800897004e-08
9772,4,AKNA,-5.8685355,,4.396617381946476e-09,1.6717176357210936e-08
9773,4,ABCC9,-5.8701444,,4.3541520352175075e-09,1.6587245848447648e-08
9774,4,THSD7A,-5.919882,,3.221728866633671e-09,1.232018687049205e-08
9775,4,SLC35F4,-6.000738,,1.9642257775970595e-09,7.569270819256492e-09
9776,4,BTG2,-6.0462394,,1.4826570264213773e-09,5.724544503557441e-09
9777,4,HAP1,-6.0742154,,1.2459539252534002e-09,4.819937815293618e-09
9778,4,USP6NL,-6.087765,,1.1449754061974329e-09,4.446506431834691e-09
9779,4,HGF,-6.127479,,8.928221829455527e-10,3.474016276052734e-09
9780,4,HLA-E,-6.197066,,5.752545890363226e-10,2.2427079494593475e-09
9781,4,MT1M,-6.248232,,4.1512533018455255e-10,1.624756673912143e-09
9782,4,RHBDF2,-6.25294,,4.0279592932593446e-10,1.579591879709547e-09
9783,4,ARHGAP15,-6.2648582,,3.731650186876479e-10,1.4662672639986165e-09
9784,4,COTL1,-6.2705545,,3.597640208664486e-10,1.416393782938774e-09
9785,4,COL9A1,-6.2785974,,3.4164129822012205e-10,1.347697428876221e-09
